CAMPUS	PLANTEL	AREA_ESTUDIO	id_carrera	A_INSCRI	A_APROB	A_REPRO	A_ADEUD	PROMEDIO	A_INSCRI_1	A_APROB_1	EGRESO	P_AVANCE	rezago_ceroQ	SEXO	origen_soc	est_trad	promedio_recQ	repro_13	rezago_nuloQ	estudiante_pionero	aprobacion_carr	promedio_carr	eficienciaterm_carr	eficiencia_carrdecil	eficiencia_carrQ	eficiencia_carrQ3	aprobación_sem1
1	1	1	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	2	1	1	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	2	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	1	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	2	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	1	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	1	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	1	1	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	2	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	1	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	2	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	1	1	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	1	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	1	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	1	2	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	2	1	1	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	2	1	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	1	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	2	1	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	1	0	3	2	1	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	1	0	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	0	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	0	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	1	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	1	1	3	2	1	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	1	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	1	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	0	0	2	3	1	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	0	0	2	3	1	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	1	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	1	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	2	3	1	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	1	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	1	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	1	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	0	1	3	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	0	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	1	0	2	2	1	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	2	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	1	2	1	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	1	2	1	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	1	2	1	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	1	2	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	1	1	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	2	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	1	1	1	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	0	3	3	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	0	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	1	0	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	1	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	0	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	1	3	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	0	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	2	1	2	1	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	0	1	1	2	1	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	0	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	0	2	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	1	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	1	1	2	1	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	0	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	2	1	2	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	0	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	0	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	0	2	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	2	1	2	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	0	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	0	1	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	2	1	2	1	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	1	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	1	2	3	1	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	0	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	0	2	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	1	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	0	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	2	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	1	1	1	2	0	0.611976048	77.35202905	0.273109244	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	0	2	2	3	0	0.611976048	77.35202905	0.273109244	10	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
